symbol,open,high,low,close,epoch,timestamp
CRASH1000,5446.318,5450.573,5446.318,5450.573,1775120400,2026-04-02T11:00:00
BOOM1000,14262.842,14305.627,14258.278,14302.799,1775120400,2026-04-02T11:00:00
CRASH1000,5450.579,5467.035,5448.104,5467.035,1775124000,2026-04-02T12:00:00
BOOM1000,14302.792,14334.206,14286.365,14309.598,1775124000,2026-04-02T12:00:00
BOOM1000,14309.58,14319.594,14291.646,14291.646,1775127600,2026-04-02T13:00:00
CRASH1000,5467.035,5480.718,5464.417,5480.718,1775127600,2026-04-02T13:00:00
CRASH1000,5472.213,5487.102,5472.213,5487.102,1775131200,2026-04-02T14:00:00
BOOM1000,14315.151,14330.736,14295.401,14304.03,1775131200,2026-04-02T14:00:00
CRASH1000,5487.107,5491.203,5480.734,5488.583,1775134800,2026-04-02T15:00:00
BOOM1000,14304.02,14304.02,14267.814,14267.814,1775134800,2026-04-02T15:00:00
CRASH1000,5488.584,5495.923,5475.814,5475.889,1775138400,2026-04-02T16:00:00
BOOM1000,14267.802,14315.876,14263.246,14310.794,1775138400,2026-04-02T16:00:00
CRASH1000,5475.89,5479.286,5462.205,5474.543,1775142000,2026-04-02T17:00:00
BOOM1000,14310.782,14310.782,14283.925,14297.145,1775142000,2026-04-02T17:00:00
CRASH1000,5474.549,5482.288,5469.177,5482.288,1775145600,2026-04-02T18:00:00
BOOM1000,14297.137,14369.459,14296.762,14350.191,1775145600,2026-04-02T18:00:00
BOOM1000,14353.247,14380.571,14346.781,14374.906,1775149200,2026-04-02T19:00:00
CRASH1000,5487.633,5495.334,5483.732,5484.784,1775149200,2026-04-02T19:00:00
BOOM1000,14388.899,14388.899,14388.816,14388.816,1775152800,2026-04-02T20:00:00
CRASH1000,5461.452,5461.478,5461.452,5461.478,1775152800,2026-04-02T20:00:00
BOOM1000,14430.176,14430.176,14427.271,14427.271,1775156400,2026-04-02T21:00:00
CRASH1000,5445.49,5446.595,5445.49,5446.595,1775156400,2026-04-02T21:00:00
